filename,hash,size,valid_opcodes_count,opcode_ratio,unique_opcodes,tia_accesses,riot_accesses,riot_timer_accesses,riot_io_accesses,branch_count,jump_count,composite_score
Artillery Duel (1).bin,c77c35a6,8192,5934,0.724365234375,82,349,217,165,52,643,152,0.93109130859375
Bobby is Going Home (CCE).bin,3cbdf71b,4096,2967,0.724365234375,101,254,83,39,44,236,80,0.93109130859375
Cracked.BIN,fe67087f,16384,11837,0.72247314453125,93,901,138,109,29,819,266,0.9306182861328125
Cracked.BIN,fe67087f,16384,11837,0.72247314453125,93,901,138,109,29,819,266,0.9306182861328125
Sentinel.bin,8da51e0c,16384,11832,0.72216796875,68,444,211,186,25,832,251,0.9305419921875
Sentinel.bin,8da51e0c,16384,11832,0.72216796875,68,444,211,186,25,832,251,0.9305419921875
Starpath - Killer Satellites.bin,9c27ef3b,8448,6089,0.7207623106060606,109,288,78,65,13,616,135,0.9301905776515151
Starpath - Killer Satellites.bin,9c27ef3b,8448,6089,0.7207623106060606,109,288,78,65,13,616,135,0.9301905776515151
Mines of Minos.bin,4543b769,4096,3143,0.767333984375,107,144,54,45,9,400,109,0.92983349609375
Mines of Minos.bin,4543b769,4096,3143,0.767333984375,107,144,54,45,9,400,109,0.92983349609375
Slot Racers - Maze (2).bin,5f708ca3,4096,2946,0.71923828125,100,164,136,126,10,320,130,0.9298095703125
Slot Racers - Maze (2).bin,5f708ca3,4096,2946,0.71923828125,100,164,136,126,10,320,130,0.9298095703125
Cathouse Blues.bin,9e192601,4096,2943,0.718505859375,100,210,80,63,17,306,123,0.92962646484375
Cathouse Blues.bin,9e192601,4096,2943,0.718505859375,100,210,80,63,17,306,123,0.92962646484375
telepathy.bin,3d7aad37,8192,5885,0.7183837890625,93,283,53,48,5,645,175,0.929595947265625
telepathy.bin,3d7aad37,8192,5885,0.7183837890625,93,283,53,48,5,645,175,0.929595947265625
Mangia.bin,54a1c125,4096,2942,0.71826171875,90,250,60,49,11,280,98,0.9295654296875
Mangia.bin,54a1c125,4096,2942,0.71826171875,90,250,60,49,11,280,98,0.9295654296875
Seaquest.bin,240bfbac,4096,3067,0.748779296875,101,335,48,39,9,360,83,0.92919482421875
Seaquest.bin,240bfbac,4096,3067,0.748779296875,101,335,48,39,9,360,83,0.92919482421875
Donkey Kong Jr. (CCE).bin,5a6febb9,8192,6262,0.764404296875,101,620,47,44,3,696,204,0.92910107421875
Donkey Kong Jr. (CCE).bin,5a6febb9,8192,6262,0.764404296875,101,620,47,44,3,696,204,0.92910107421875
Double Dragon.bin,47464694,16384,11734,0.7161865234375,111,405,125,113,12,1272,378,0.929046630859375
Double Dragon.bin,47464694,16384,11734,0.7161865234375,111,405,125,113,12,1272,378,0.929046630859375
Dishastr.bin,939ce554,4096,2933,0.716064453125,107,189,58,47,11,289,100,0.92901611328125
Dishastr.bin,939ce554,4096,2933,0.716064453125,107,189,58,47,11,289,100,0.92901611328125
Panda Chase.bin,f8582bc6,4096,2932,0.7158203125,105,186,51,49,2,290,81,0.928955078125
Panda Chase.bin,f8582bc6,4096,2932,0.7158203125,105,186,51,49,2,290,81,0.928955078125
Commando.bin,5d2cc33c,16384,11721,0.71539306640625,75,722,280,280,0,653,416,0.9288482666015625
Commando.bin,5d2cc33c,16384,11721,0.71539306640625,75,722,280,280,0,653,416,0.9288482666015625
Dumbo's Flying Circus.bin,1f773a94,8192,5837,0.7125244140625,95,165,80,63,17,560,211,0.928131103515625
Dumbo's Flying Circus.bin,1f773a94,8192,5837,0.7125244140625,95,165,80,63,17,560,211,0.928131103515625
Coconuts.bin,1e587ca9,4096,2905,0.709228515625,116,199,53,49,4,368,103,0.92730712890625
Coconuts.bin,1e587ca9,4096,2905,0.709228515625,116,199,53,49,4,368,103,0.92730712890625
Berzerk.bin,136f75c4,4096,3217,0.785400390625,107,176,45,31,14,277,182,0.92635009765625
Berzerk.bin,136f75c4,4096,3217,0.785400390625,107,176,45,31,14,277,182,0.92635009765625
Tutankham.bin,085322ba,8192,6034,0.736572265625,106,206,48,34,14,657,206,0.92614306640625
Tutankham.bin,085322ba,8192,6034,0.736572265625,106,206,48,34,14,657,206,0.92614306640625
Rampage!.bin,5e1b4629,16384,11539,0.70428466796875,94,411,75,57,18,1216,557,0.9260711669921875
Rampage!.bin,5e1b4629,16384,11539,0.70428466796875,94,411,75,57,18,1216,557,0.9260711669921875
Out of Control.bin,f97dee1a,4096,2884,0.7041015625,88,165,54,26,28,354,112,0.926025390625
Out of Control.bin,f97dee1a,4096,2884,0.7041015625,88,165,54,26,28,354,112,0.926025390625
Space Shuttle.bin,5894c9c0,8192,5741,0.7008056640625,104,417,75,65,10,737,143,0.925201416015625
Space Shuttle.bin,5894c9c0,8192,5741,0.7008056640625,104,417,75,65,10,737,143,0.925201416015625
Clown Downtown (PAL).bin,7ff53f69,4096,2868,0.7001953125,105,184,73,58,15,209,162,0.925048828125
Walker.bin,d175258b,4096,2868,0.7001953125,105,184,73,58,15,209,162,0.925048828125
Clown Downtown (PAL).bin,7ff53f69,4096,2868,0.7001953125,105,184,73,58,15,209,162,0.925048828125
Walker.bin,d175258b,4096,2868,0.7001953125,105,184,73,58,15,209,162,0.925048828125
Sorcerer.bin,d2c4f8a4,4096,2867,0.699951171875,105,166,76,70,6,347,113,0.92498779296875
Sorcerer.bin,d2c4f8a4,4096,2867,0.699951171875,105,166,76,70,6,347,113,0.92498779296875
I.Q. 180.bin,4b9581c3,4096,3062,0.74755859375,95,259,47,47,0,219,140,0.9248896484375
Iq180.bin,4b9581c3,4096,3062,0.74755859375,95,259,47,47,0,219,140,0.9248896484375
I.Q. 180.bin,4b9581c3,4096,3062,0.74755859375,95,259,47,47,0,219,140,0.9248896484375
Iq180.bin,4b9581c3,4096,3062,0.74755859375,95,259,47,47,0,219,140,0.9248896484375
RubiksCube3D.bin,40b18321,4096,2865,0.699462890625,83,261,99,77,22,217,76,0.92486572265625
RubiksCube3D.bin,40b18321,4096,2865,0.699462890625,83,261,99,77,22,217,76,0.92486572265625
Grover's Music Maker.bin,4ac9f40d,8192,5727,0.6990966796875,81,311,81,63,18,354,176,0.924774169921875
Grover's Music Maker.bin,4ac9f40d,8192,5727,0.6990966796875,81,311,81,63,18,354,176,0.924774169921875
SECRETQ.BIN,fc24a94d,16384,11400,0.69580078125,101,504,68,54,14,1440,344,0.9239501953125
SECRETQ.BIN,fc24a94d,16384,11400,0.69580078125,101,504,68,54,14,1440,344,0.9239501953125
JoustPong.bin,ec40d4b9,4096,2893,0.706298828125,95,198,80,74,6,196,69,0.92357470703125
JoustPong.bin,ec40d4b9,4096,2893,0.706298828125,95,198,80,74,6,196,69,0.92357470703125
Surf's Up.bin,aec9b885,8192,5684,0.69384765625,94,328,115,96,19,448,118,0.9234619140625
Surf's Up.bin,aec9b885,8192,5684,0.69384765625,94,328,115,96,19,448,118,0.9234619140625
SwordQuest - Earthworld.bin,05ebd183,8192,5657,0.6905517578125,86,366,96,82,14,437,268,0.922637939453125
SwordQuest - Earthworld.bin,05ebd183,8192,5657,0.6905517578125,86,366,96,82,14,437,268,0.922637939453125
words.bin,2facd460,4096,3313,0.808837890625,104,137,49,49,0,241,87,0.92220947265625
words.bin,2facd460,4096,3313,0.808837890625,104,137,49,49,0,241,87,0.92220947265625
Cubicolor.bin,6fa0ac69,4096,3198,0.78076171875,104,358,44,36,8,345,104,0.9211904296875
Cubicolor.bin,6fa0ac69,4096,3198,0.78076171875,104,358,44,36,8,345,104,0.9211904296875
Dice Puzzle.bin,9222b25a,4096,3262,0.79638671875,106,136,64,53,11,299,153,0.9210966796875
Dice Puzzle.bin,9222b25a,4096,3262,0.79638671875,106,136,64,53,11,299,153,0.9210966796875
Cubo Magico (CCE).bin,64ca5189,4096,3194,0.77978515625,104,357,44,36,8,343,106,0.9209462890625
Cubo Magico (CCE).bin,64ca5189,4096,3194,0.77978515625,104,357,44,36,8,343,106,0.9209462890625
Dragster (2).bin,63a6eda1,4096,3186,0.77783203125,106,234,44,38,6,298,70,0.9204580078125
Dragster (2).bin,63a6eda1,4096,3186,0.77783203125,106,234,44,38,6,298,70,0.9204580078125
Jrpacman.bin,36c29cee,16384,11164,0.681396484375,111,472,78,58,20,994,345,0.92034912109375
Strawberry Shortcake Musical Match-Ups.bin,e10d2c78,4096,2791,0.681396484375,99,190,66,53,13,205,64,0.92034912109375
Jrpacman.bin,36c29cee,16384,11164,0.681396484375,111,472,78,58,20,994,345,0.92034912109375
Strawberry Shortcake Musical Match-Ups.bin,e10d2c78,4096,2791,0.681396484375,99,190,66,53,13,205,64,0.92034912109375
Surfer's Paradise - But Danger Below!.bin,c20f1528,4096,3179,0.776123046875,102,154,44,30,14,406,111,0.92003076171875
Surfer's Paradise - But Danger Below!.bin,c20f1528,4096,3179,0.776123046875,102,154,44,30,14,406,111,0.92003076171875
Piece o' Cake.bin,d3423d76,4096,3046,0.74365234375,102,305,46,6,40,318,130,0.9199130859375
Piece o' Cake.bin,d3423d76,4096,3046,0.74365234375,102,305,46,6,40,318,130,0.9199130859375
Dragonfire.bin,41810dd9,4096,3111,0.759521484375,114,192,45,35,10,389,69,0.91988037109375
Dragonfire.bin,41810dd9,4096,3111,0.759521484375,114,192,45,35,10,389,69,0.91988037109375
Super Ferrari.bin,724613ef,4096,3241,0.791259765625,101,248,43,13,30,288,72,0.91981494140625
Super Ferrari.bin,724613ef,4096,3241,0.791259765625,101,248,43,13,30,288,72,0.91981494140625
Radarlok.bin,baf4ce88,16384,11105,0.67779541015625,101,522,103,85,18,1261,352,0.9194488525390625
Radarlok.bin,baf4ce88,16384,11105,0.67779541015625,101,522,103,85,18,1261,352,0.9194488525390625
Ikari Warriors.bin,9813b9e4,16384,11068,0.675537109375,113,709,116,97,19,1138,253,0.91888427734375
Ikari Warriors.bin,9813b9e4,16384,11068,0.675537109375,113,709,116,97,19,1138,253,0.91888427734375
Sky Patrol (Prototype).bin,4c9307de,8192,5925,0.7232666015625,92,296,47,44,3,571,205,0.918816650390625
Sky Patrol (Prototype).bin,4c9307de,8192,5925,0.7232666015625,92,296,47,44,3,571,205,0.918816650390625
Summer Games.bin,45027dde,16384,11030,0.6732177734375,100,931,72,54,18,1066,384,0.918304443359375
Summer Games.bin,45027dde,16384,11030,0.6732177734375,100,931,72,54,18,1066,384,0.918304443359375
Pitfall II - Lost Caverns (10K version).bin,6d842c96,10495,7026,0.6694616484040019,99,436,74,73,1,828,197,0.9173654121010004
Pitfall II - Lost Caverns (10K version).bin,6d842c96,10495,7026,0.6694616484040019,99,436,74,73,1,828,197,0.9173654121010004
Dschungle Boy (Pitfall).bin,de61a0b1,4096,3114,0.76025390625,106,242,44,33,11,307,59,0.9160634765625
Tom Boy.bin,ece908d7,4096,3114,0.76025390625,106,242,44,33,11,307,60,0.9160634765625
Dschungle Boy (Pitfall).bin,de61a0b1,4096,3114,0.76025390625,106,242,44,33,11,307,59,0.9160634765625
Tom Boy.bin,ece908d7,4096,3114,0.76025390625,106,242,44,33,11,307,60,0.9160634765625
mc_ntsc_7_26_3.bin,09a03e0c,32768,21758,0.66400146484375,4,962,66,58,8,1051,393,0.9160003662109375
mc_ntsc_7_26_3.bin,09a03e0c,32768,21758,0.66400146484375,4,962,66,58,8,1051,393,0.9160003662109375
mc_pal_4_28_3.bin,dcd5057d,32768,21739,0.663421630859375,4,967,57,49,8,1066,428,0.9158554077148438
mc_pal_4_28_3.bin,dcd5057d,32768,21739,0.663421630859375,4,967,57,49,8,1066,428,0.9158554077148438
shootacd.bin,15c11ab6,16384,10816,0.66015625,94,621,140,113,27,881,390,0.9150390625
shootacd.bin,15c11ab6,16384,10816,0.66015625,94,621,140,113,27,881,390,0.9150390625
H.E.R.O..bin,fca4a5be,8192,5800,0.7080078125,101,297,47,36,11,725,181,0.915001953125
H.E.R.O..bin,fca4a5be,8192,5800,0.7080078125,101,297,47,36,11,725,181,0.915001953125
Rescue Bira Bira.bin,8a9d874a,4096,3094,0.75537109375,104,175,44,34,10,377,97,0.9148427734375
Rescue Bira Bira.bin,8a9d874a,4096,3094,0.75537109375,104,175,44,34,10,377,97,0.9148427734375
Super Cobra.bin,c29f8db6,8192,5394,0.658447265625,101,340,69,68,1,558,172,0.91461181640625
Super Cobra.bin,c29f8db6,8192,5394,0.658447265625,101,340,69,68,1,558,172,0.91461181640625
Darkcham.bin,10685547,16384,10778,0.6578369140625,90,376,212,204,8,1279,271,0.914459228515625
Darkcham.bin,10685547,16384,10778,0.6578369140625,90,376,212,204,8,1279,271,0.914459228515625
GoFish_NTSC.bin,787a2fae,8192,5377,0.6563720703125,96,224,81,59,22,444,155,0.914093017578125
GoFish_NTSC.bin,787a2fae,8192,5377,0.6563720703125,96,224,81,59,22,444,155,0.914093017578125
snow_wht.bin,75ee371c,8192,5375,0.6561279296875,88,412,117,74,43,536,218,0.914031982421875
snow_wht.bin,75ee371c,8192,5375,0.6561279296875,88,412,117,74,43,536,218,0.914031982421875
berzerkvoice.bin,be41463c,16384,10678,0.6517333984375,107,369,73,53,20,358,232,0.912933349609375
berzerkvoice.bin,be41463c,16384,10678,0.6517333984375,107,369,73,53,20,358,232,0.912933349609375
INV.bin,4868a81e,4096,2668,0.6513671875,104,208,64,52,12,222,74,0.912841796875
INV.bin,4868a81e,4096,2668,0.6513671875,104,208,64,52,12,222,74,0.912841796875
FlapPing.bin,163ff703,4096,2667,0.651123046875,101,190,81,73,8,221,76,0.91278076171875
FlapPing.bin,163ff703,4096,2667,0.651123046875,101,190,81,73,8,221,76,0.91278076171875
M.A.S.H..bin,835759ff,4096,3059,0.746826171875,114,170,44,39,5,314,60,0.91270654296875
M.A.S.H..bin,835759ff,4096,3059,0.746826171875,114,170,44,39,5,314,60,0.91270654296875
Miniature Golf - Arcade Golf (2).bin,384db976,4096,3122,0.76220703125,108,136,106,64,42,390,74,0.9125517578125
Miniature Golf - Arcade Golf (2).bin,384db976,4096,3122,0.76220703125,108,136,106,64,42,390,74,0.9125517578125
Sprintmaster.bin,5a8afe54,16384,12395,0.75653076171875,102,170,43,21,22,826,242,0.9111326904296875
Sprintmaster.bin,5a8afe54,16384,12395,0.75653076171875,102,170,43,21,22,826,242,0.9111326904296875
Suprman2.bin,5de8803a,4096,3163,0.772216796875,105,134,94,46,48,407,115,0.91105419921875
Suprman2.bin,5de8803a,4096,3163,0.772216796875,105,134,94,46,48,407,115,0.91105419921875
Superman (1).bin,a9531c76,4096,3144,0.767578125,104,134,94,46,48,408,114,0.90989453125
Superman (1).bin,a9531c76,4096,3144,0.767578125,104,134,94,46,48,408,114,0.90989453125
Starmaster.bin,d69559f9,4096,3076,0.7509765625,111,163,43,43,0,311,82,0.909744140625
Starmaster.bin,d69559f9,4096,3076,0.7509765625,111,163,43,43,0,311,82,0.909744140625
Indy 500 (4k Version).bin,08188785,4096,3074,0.75048828125,110,136,50,42,8,304,130,0.9096220703125
Indy 500 (4k Version).bin,08188785,4096,3074,0.75048828125,110,136,50,42,8,304,130,0.9096220703125
Pitfall!.bin,3e90cf23,4096,3070,0.74951171875,106,241,43,32,11,326,59,0.9093779296875
Pitfall!.bin,3e90cf23,4096,3070,0.74951171875,106,241,43,32,11,326,59,0.9093779296875
Pitfall! No Walls Hack.bin,e42b937c,4096,3068,0.7490234375,106,241,43,32,11,326,59,0.909255859375
Pitfall! No Walls Hack.bin,e42b937c,4096,3068,0.7490234375,106,241,43,32,11,326,59,0.909255859375
VaultAssault.bin,787ebc26,4096,2598,0.63427734375,102,228,79,72,7,258,95,0.9085693359375
VaultAssault.bin,787ebc26,4096,2598,0.63427734375,102,228,79,72,7,258,95,0.9085693359375
Eliladdr.bin,b6812eaf,4096,3110,0.75927734375,107,335,42,35,7,255,77,0.9078193359375
Eliladdr.bin,b6812eaf,4096,3110,0.75927734375,107,335,42,35,7,255,77,0.9078193359375
Burning Desire.bin,19d6956f,4096,3043,0.742919921875,100,172,43,35,8,386,91,0.90772998046875
Burning Desire.bin,19d6956f,4096,3043,0.742919921875,100,172,43,35,8,386,91,0.90772998046875
Zoo Fun.bin,fb833ed5,4096,2899,0.707763671875,99,161,45,42,3,317,91,0.90694091796875
Zoo Fun.bin,fb833ed5,4096,2899,0.707763671875,99,161,45,42,3,317,91,0.90694091796875
Misspig.bin,41810873,8192,6963,0.8499755859375,109,180,36,36,0,350,109,0.9064938964843751
Misspig.bin,41810873,8192,6963,0.8499755859375,109,180,36,36,0,350,109,0.9064938964843751
dune.bin,469473ff,8192,6772,0.82666015625,44,161,37,29,8,299,83,0.9046650390625001
dune.bin,469473ff,8192,6772,0.82666015625,44,161,37,29,8,299,83,0.9046650390625001
Tunlrunr.bin,b2737034,12288,7550,0.6144205729166666,85,461,124,43,81,864,222,0.9036051432291667
Tunlrunr.bin,b2737034,12288,7550,0.6144205729166666,85,461,124,43,81,864,222,0.9036051432291667
Wall Defender.bin,c16fbfdb,4096,3038,0.74169921875,107,134,91,91,0,374,96,0.9034248046875
Wall Defender.bin,c16fbfdb,4096,3038,0.74169921875,107,134,91,91,0,374,96,0.9034248046875
Breakdown.bin,372bddf1,4096,3037,0.741455078125,107,134,91,91,0,374,95,0.90336376953125
Breakdown.bin,372bddf1,4096,3037,0.741455078125,107,134,91,91,0,374,95,0.90336376953125
Centipede.bin,91c2098e,8192,6323,0.7718505859375,81,458,40,37,3,621,183,0.902962646484375
Centipede.bin,91c2098e,8192,6323,0.7718505859375,81,458,40,37,3,621,183,0.902962646484375
"Ewok Adventure (Parker Bros, Thomas Jentzsch) (NTSC).bin",c246e05b,8192,6059,0.7396240234375,76,248,42,32,10,772,270,0.902906005859375
"Ewok Adventure (Parker Bros, Thomas Jentzsch) (NTSC).bin",c246e05b,8192,6059,0.7396240234375,76,248,42,32,10,772,270,0.902906005859375
Thrust+.bin,de7bca4e,16384,10019,0.61151123046875,100,268,240,177,63,887,398,0.9028778076171875
Thrust.bin,de7bca4e,16384,10019,0.61151123046875,100,268,240,177,63,887,398,0.9028778076171875
Thrust+.bin,de7bca4e,16384,10019,0.61151123046875,100,268,240,177,63,887,398,0.9028778076171875
Thrust.bin,de7bca4e,16384,10019,0.61151123046875,100,268,240,177,63,887,398,0.9028778076171875
Jungle Fever.bin,2cccc079,4096,3091,0.754638671875,100,175,41,33,8,377,92,0.90265966796875
Jungle Fever.bin,2cccc079,4096,3091,0.754638671875,100,175,41,33,8,377,92,0.90265966796875
Thunderground.bin,cf507910,4096,3090,0.75439453125,101,171,41,41,0,380,110,0.9025986328125
Thunderground.bin,cf507910,4096,3090,0.75439453125,101,171,41,41,0,380,110,0.9025986328125
kamisauc.bin,7b43c32e,4096,3350,0.81787109375,91,238,37,33,4,346,105,0.9024677734375001
kamisauc.bin,7b43c32e,4096,3350,0.81787109375,91,238,37,33,4,346,105,0.9024677734375001
Basketball (4k version).bin,e13c7627,4096,3186,0.77783203125,115,144,50,50,0,448,28,0.9024580078125
Basketball (4k version).bin,e13c7627,4096,3186,0.77783203125,115,144,50,50,0,448,28,0.9024580078125
Gas Hog.bin,728152f5,4096,3218,0.78564453125,110,284,39,35,4,369,45,0.9024111328125
Gas Hog.bin,728152f5,4096,3218,0.78564453125,110,284,39,35,4,369,45,0.9024111328125
Ewokadvn.bin,6dfad2dd,8192,6015,0.7342529296875,77,251,42,32,10,776,265,0.901563232421875
Ewokadvn.bin,6dfad2dd,8192,6015,0.7342529296875,77,251,42,32,10,776,265,0.901563232421875
Video Olympics - Pong Sports (2).bin,c00b65d1,4096,3196,0.7802734375,111,128,100,72,28,414,94,0.901068359375
Video Olympics - Pong Sports (2).bin,c00b65d1,4096,3196,0.7802734375,111,128,100,72,28,414,94,0.901068359375
seantsc.bin,dde55d98,4096,2999,0.732177734375,101,165,42,34,8,276,101,0.90104443359375
seantsc.bin,dde55d98,4096,2999,0.732177734375,101,165,42,34,8,276,101,0.90104443359375
PickUp.BIN,1d4e0a03,4096,3056,0.74609375,107,229,41,29,12,317,88,0.9005234375
PickUp.BIN,1d4e0a03,4096,3056,0.74609375,107,229,41,29,12,317,88,0.9005234375
Glacier Patrol.bin,5e0c37f5,4096,3206,0.78271484375,111,145,41,38,3,291,59,0.8996787109375
Glacier Patrol.bin,5e0c37f5,4096,3206,0.78271484375,111,145,41,38,3,291,59,0.8996787109375
Motocross.bin,f5a2f6ef,4096,3170,0.77392578125,102,178,39,37,2,282,105,0.8994814453125
Motocross.bin,f5a2f6ef,4096,3170,0.77392578125,102,178,39,37,2,282,105,0.8994814453125
Alpha Beam with Ernie.bin,9e01f7f9,8192,5812,0.70947265625,102,472,43,12,31,533,258,0.8993681640625
Alpha Beam with Ernie.bin,9e01f7f9,8192,5812,0.70947265625,102,472,43,12,31,533,258,0.8993681640625
snthcart.bin,2c2aea31,8192,4891,0.5970458984375,101,156,76,76,0,439,182,0.899261474609375
snthcart.bin,2c2aea31,8192,4891,0.5970458984375,101,156,76,76,0,439,182,0.899261474609375
Entombed.bin,6b683be6,4096,3292,0.8037109375,106,158,37,37,0,367,125,0.8989277343750001
Entombed.bin,6b683be6,4096,3292,0.8037109375,106,158,37,37,0,367,125,0.8989277343750001
ASTEROID.BIN,ccbd3674,8192,6696,0.8173828125,84,197,36,32,4,629,189,0.8983457031250001
ASTEROID.BIN,ccbd3674,8192,6696,0.8173828125,84,197,36,32,4,629,189,0.8983457031250001
Cosmic Commuter.bin,133b56de,4096,3150,0.76904296875,111,278,39,35,4,387,77,0.8982607421875
Cosmic Commuter.bin,133b56de,4096,3150,0.76904296875,111,278,39,35,4,387,77,0.8982607421875
